sigma,run,correlation,gini,top10_overlap
0.1,0,0.6185953483029956,0.7649721970586472,0.66
0.1,1,0.44852671398107435,0.7774109111053441,0.615
0.1,2,0.566047760165536,0.7754451353551618,0.64
0.1,3,0.638163117554773,0.7629083913693684,0.67
0.1,4,0.6240225722882113,0.7698329881254312,0.675
0.1,5,0.6111688543512189,0.7640506939463566,0.66
0.1,6,0.5757663398057681,0.7680273468664572,0.69
0.1,7,0.5735019892405318,0.7609949994833596,0.625
0.1,8,0.546624783998676,0.7628204585161751,0.65
0.1,9,0.5582113949315649,0.7861009444453364,0.675
0.1,10,0.600524754863001,0.7729619308882356,0.68
0.1,11,0.5967431110210087,0.7760320480736288,0.63
0.1,12,0.5819731861639564,0.7644459972103452,0.61
0.1,13,0.6359043556518942,0.7666855418557953,0.66
0.1,14,0.5881720573380413,0.7724690590823268,0.655
0.1,15,0.6593734426516317,0.7670167663911741,0.67
0.1,16,0.6966481458635829,0.7634599089653828,0.64
0.1,17,0.5872557054859773,0.781863459326019,0.7
0.1,18,0.5781031881651002,0.7610072853169092,0.635
0.1,19,0.670159359470058,0.7640939615111452,0.665
0.1,20,0.6393398809657709,0.777227869353792,0.66
0.1,21,0.634219138099129,0.7625208493651944,0.65
0.1,22,0.6192669937712055,0.7648821309134923,0.655
0.1,23,0.570057522551046,0.7682886199677293,0.65
0.1,24,0.6461861344707686,0.7655851221598717,0.66
0.1,25,0.6224236631078102,0.7662535211943,0.615
0.1,26,0.5823234372135531,0.7673232639021061,0.66
0.1,27,0.6594055101580851,0.7728057803258894,0.69
0.1,28,0.6205275167293959,0.7644465692967919,0.625
0.1,29,0.5830739364875208,0.7811460295880854,0.7
0.1,30,0.5902259187116181,0.7687674883458534,0.705
0.1,31,0.46503010999127903,0.7670296046424268,0.695
0.1,32,0.5764775143322701,0.7862561610141846,0.685
0.1,33,0.5901708540241504,0.7806736964712917,0.7
0.1,34,0.6137143960761678,0.7730050320650346,0.645
0.1,35,0.6393817061827812,0.7593627551019936,0.65
0.1,36,0.6343724906538878,0.7655995311915618,0.67
0.1,37,0.6472547140011002,0.751071936966144,0.655
0.1,38,0.6295070285641177,0.762352320097567,0.65
0.1,39,0.5809514046879222,0.7855270668169583,0.72
0.1,40,0.5797114441327498,0.7649527569790691,0.645
0.1,41,0.5480981412507722,0.7801116683392944,0.655
0.1,42,0.6773158096985578,0.7705810587552707,0.685
0.1,43,0.4854166425281299,0.7843164435035668,0.6
0.1,44,0.5650527250508696,0.7777009651785667,0.65
0.1,45,0.4956163878155792,0.7675618708939093,0.675
0.1,46,0.6898102543436673,0.7594524409213651,0.705
0.1,47,0.6419024897131068,0.7649666930190439,0.7
0.1,48,0.6402027550790435,0.7640180559314893,0.69
0.1,49,0.564322058413262,0.7721649516767399,0.625
0.25,0,0.6542839813461118,0.7428217273905713,0.645
0.25,1,0.444022514834875,0.764617978185996,0.67
0.25,2,0.6615301479627472,0.7459811691023522,0.66
0.25,3,0.6061689918353765,0.7512833864599239,0.67
0.25,4,0.5605484399106894,0.762281372503101,0.685
0.25,5,0.49872262081270474,0.7709117202249004,0.69
0.25,6,0.6996732492154776,0.7510968466673595,0.74
0.25,7,0.6334073944853642,0.7563836786867922,0.705
0.25,8,0.6479579267331679,0.7526143474442082,0.645
0.25,9,0.5646992584887253,0.7506651837223595,0.675
0.25,10,0.5986011669834703,0.7442261722919236,0.67
0.25,11,0.5101464314264412,0.7614079640805953,0.675
0.25,12,0.6755561492857044,0.7435004127580076,0.67
0.25,13,0.6773127348553049,0.7551444017116836,0.7
0.25,14,0.5765321593781323,0.7451499749139463,0.63
0.25,15,0.522450830672921,0.7622451354805956,0.645
0.25,16,0.47446413259245834,0.7651508579325126,0.685
0.25,17,0.6114434024954649,0.7512255590108343,0.635
0.25,18,0.4741489282609769,0.7679006838541778,0.645
0.25,19,0.5320870620038688,0.7395196740053759,0.63
0.25,20,0.6149871812871495,0.7613983705070517,0.695
0.25,21,0.6531502635394011,0.7535143001921686,0.64
0.25,22,0.6176254768506922,0.7592593844388811,0.67
0.25,23,0.6235120372207719,0.7448192271875382,0.66
0.25,24,0.5943816502459869,0.7490337378373705,0.65
0.25,25,0.4721411218098249,0.7603364524407618,0.69
0.25,26,0.5996779689990005,0.7499930207035439,0.67
0.25,27,0.6194900958219038,0.7545769490044998,0.65
0.25,28,0.4907587833834531,0.7566917474851681,0.635
0.25,29,0.43776765260206246,0.7768438882778781,0.675
0.25,30,0.6565052672389138,0.7460414520913415,0.67
0.25,31,0.6412336649351498,0.7515197892585436,0.665
0.25,32,0.6303359918982342,0.7489407758703773,0.61
0.25,33,0.6232623079115168,0.7336282691904652,0.655
0.25,34,0.5236030504880113,0.7553431878835216,0.685
0.25,35,0.6631967792282294,0.7580702845713061,0.665
0.25,36,0.6291658826389197,0.76452685227101,0.695
0.25,37,0.5095310196342143,0.7685864673214071,0.67
0.25,38,0.6364351023312006,0.7522640323848226,0.67
0.25,39,0.49901224775748193,0.7611807068234421,0.68
0.25,40,0.5967223400842973,0.766808049516175,0.68
0.25,41,0.5449401959855548,0.755123464758893,0.685
0.25,42,0.6379246033663039,0.7523392135607154,0.715
0.25,43,0.5350099117645096,0.7658523625941435,0.655
0.25,44,0.6806044258535238,0.7379612082262607,0.65
0.25,45,0.6260645439238637,0.7424898210251794,0.69
