Desviación estándar de correlation,Promedio de correlation,sigma,Desviación estándar de gini,Promedio de gini,Desviación estándar de top10_overlap,Promedio de top10_overlap
0.05219940457527061,0.5997368952019984,0.1,0.007858209862124562,0.7695710455774235,0.027499999999997225,0.6615000000000001
0.06868099720031581,0.5886937363650337,0.25,0.009081891747476862,0.7542886516844353,0.02382771495549237,0.6681999999999999
0.059802271548592086,0.5749652707827937,0.5,0.008844638179762542,0.7125604707453832,0.024708095839221,0.6551
0.051085627868644,0.5493193421610321,1,0.008720298452451569,0.6064480229681233,0.02913005320970077,0.5912
0.048563586673669175,0.5280613295728772,1.25,0.011493860648233378,0.5602878970997265,0.024001874926759516,0.5379
0.04349578857813423,0.49418719095217317,1.5,0.008657168964790064,0.5246266025758531,0.02116152168441563,0.5086999999999999
0.03228893121178012,0.4767899315172938,1.75,0.00927233855573082,0.4942940936227062,0.026529983038064375,0.4646
0.03731143938853209,0.4472699184664641,2,0.008968719031188966,0.4666807025595603,0.028966187184370423,0.4236
