sigma,Promedio de correlation,Desviación estándar de correlation,Desviación estándar de gini,Promedio de gini,Desviación estándar de top10_overlap,Promedio de top10_overlap
0.1,0.7888319216565135,0.006368539435483155,0.008456433287694045,0.730981923649899,0.022337412562782138,0.7348
0.25,0.7973532748874439,0.006388822518694608,0.008003037589115107,0.7158964081251615,0.02211537926421774,0.7521
0.5,0.8188839469253746,0.0058528470449576864,0.007885576458904706,0.6601257608191514,0.021868699092542868,0.7474
1,0.8481683255898241,0.005509525706104112,0.005544706735447405,0.535088902692182,0.027982137159268037,0.731
1.25,0.8526703082821251,0.00448884452663164,0.006130347280306492,0.48060907281791854,0.025128469909647077,0.7116
1.5,0.8510676913348614,0.005174783054188967,0.005176741236143942,0.43519814819434466,0.02460670640292754,0.6899
1.75,0.8430657534827855,0.005882908429471626,0.005318014653208846,0.395130749023651,0.0267514485589081,0.6506000000000001
2,0.833410865923088,0.006084634507133004,0.00558551910454569,0.36500175473424884,0.02879392296995977,0.6371
